Generation,Transportation,Workload,Delay,Unrecycled
7,614.48,159.26,1241.84,25
7,456.83,66.81,642.19,99
8,470.59,97.56,58.89,97
8,527.97,94.02,502.03,48
8,559.68,45.05,424.94,76
8,525.24,163.52,725.17,50
8,525.24,163.52,725.17,50
8,517.1,32.85,659.58,51
8,412.68,116.83,344.23,82
8,405.61,116.83,344.23,85
8,387.71,54.08,406.56,132
8,478.34,75.61,48.43,75
8,432.85,113.7,549.8,56
8,428.2,74.64,177.16,103
8,517.1,32.85,659.58,51
8,421.79,115.35,295.3,85
8,412.68,116.83,344.23,82
8,412.68,116.83,344.23,82
8,529.76,65.57,366.53,48
8,479.43,46.8,485.62,127
8,378.04,87.36,273.04,141
8,434.67,133.36,163.57,82
8,494.99,89.43,415.78,55
8,513.34,69.59,357.38,89
8,423.67,118.88,293.09,85
8,373.4,120.38,432.14,146
8,373.4,120.38,432.14,146
8,379.55,60.61,127,133
8,412.68,116.83,344.23,82
8,517.1,32.85,659.58,51
8,525.24,163.52,725.17,50
8,397.83,107.99,466.15,82
8,396.04,99.36,518.75,85
9,509.92,55.66,154.42,43
9,412.68,116.83,344.23,82
9,412.68,116.83,344.23,82
9,412.68,116.83,344.23,82
9,412.68,116.83,344.23,82
9,412.68,116.83,344.23,82
9,495.26,64.49,409.91,119
9,449.14,86.21,180.66,96
9,551.04,114.38,401.45,34
9,434.67,133.36,163.57,82
9,517.1,32.85,659.58,51
9,507.28,59.16,303.6,94
9,434.98,40.82,131.81,132
9,468.25,17.51,584.32,90
9,451.46,107.59,161.56,90
9,417.27,136.9,75.29,121
9,491.39,57.37,475.51,93
9,452.05,74.36,34.44,123
9,484.44,107.09,676.02,56
9,458.19,163.09,917.22,56
9,438.81,111.76,598.35,89
9,535.38,162.14,516.36,39
9,391.74,145.9,788.93,93
9,387.71,54.08,406.56,132
9,361.09,13.05,581.18,132
9,412.68,116.83,344.23,82
9,412.68,116.83,344.23,82
9,387.71,54.08,406.56,132
9,387.71,54.08,406.56,132
9,368.17,52.07,400.2,144
9,511.15,55.12,465.17,74
9,434.67,133.36,163.57,82
9,559.68,45.05,424.94,76
10,434.67,133.36,163.57,82
10,412.68,116.83,344.23,82
10,488.16,127.68,412.17,56
10,441.3,131.29,179.74,121
10,490.95,126.67,351.19,59
10,486.61,84.1,485.32,43
10,402.46,92.24,590.86,56
10,406.76,116.81,226.52,105
10,424.34,133.86,75.29,98
10,434.98,40.82,131.81,132
10,509.92,55.66,154.42,43
10,426.31,108.28,494.54,82
10,406.36,138.16,569.54,121
10,434.67,133.36,163.57,82
10,434.67,133.36,163.57,82
10,521.32,54.99,49.94,73
10,492.5,93.37,239.48,43
10,412.68,116.83,344.23,82
10,412.68,116.83,344.23,82
10,511.76,33.36,581.58,64
10,463.81,76.35,34.44,110
10,457.61,129.83,160.7,72
10,425.1,133.31,338.09,82
10,551.04,114.38,401.45,34
10,412.68,116.83,344.23,82
10,412.68,116.83,344.23,82
10,599.75,69.81,231.36,34
10,469.66,63.65,64.39,132
11,424.34,133.86,75.29,98
11,416.39,99.82,86.24,121
11,554.98,60.76,690.05,48
11,448.8,99.91,588.6,59
11,486.61,84.1,485.32,43
11,492.5,93.37,239.48,43
11,424.34,133.86,75.29,98
11,492.5,93.37,239.48,43
11,480.33,152.23,846.57,43
11,395.46,57.11,376.01,105
11,416.5,119.75,659.1,65
11,360.89,51.32,384.66,124
11,472.09,123.72,499.98,57
11,461.7,73.06,123.03,95
11,412.64,99.65,156.48,121
11,434.67,133.36,163.57,82
11,434.67,133.36,163.57,82
